,Pokemon,Behavior
12,Charmeleon,"Charmeleon, along with Charmander and Charizard, can be found in hot, rocky mountainous areas"
13,Charmeleon,"Charmeleon evolves from Charmander at level 16, and evolves into Charizard in level 36"
0,Charizard,Charizard are noble and will not turn the full power of their flame on opponents significantly weaker than they are
1,Charizard, Charizards are also known to be very eager to battle
2,Charizard, Charizard seeks out stronger foes and only breathes fire during battles with worthy opponents
3,Charizard, The fiery breath is so hot that it can turn any material to slag
4,Charizard, They can be very dangerous and aggressive if provoked
5,Charizard," But like Charmander and Charmeleon, it is friendly and affectionate with its Trainer"
6,Charizard, Charizard only ignores its Trainer if it feels it's Trainer does not care about it
7,Charizard," Only a weak Charizard shows off its power, as said by Liza in Charizard's Burning Ambitions"
8,Charizard,Charizard evolves from Charmeleon starting at level 36
9,Charizard, It is the final form of Charmander
0,Wartortle,"They use water to cloak themselves before attacking prey and swiftly swimming after them, using their ears and tails to balance themselves"
1,Wartortle,"Wartortle pride themselves on scratched shells, as they show toughness in battle"
2,Wartortle," Generally, it is believed that the more scratches a Wartortle gains during this stage, the stronger it will be after evolution"
0,Blastoise,Blastoise can take the role of a leader in large groups of Squirtle and Wartortle
1,Blastoise, Its preferred habitat seems to be freshwater ponds and lakes
2,Blastoise,Blastoise are watchful Pokémon
3,Blastoise," They dislike humans in their territory, but will not attack unless provoked"
4,Blastoise, They tend to fight when they sense danger
0,Caterpie,"Caterpie are known for their great appetites, usually eating many leaves before creating cocoons to evolve"
1,Caterpie, They use self-made silk to both produce cocoons for evolution
2,Caterpie,"As weak, soft-bodied Pokémon, Caterpie attempt to gather as much energy as possible to hasten their evolutions into Metapod, and afterwards into Butterfree"
3,Caterpie," However, they are not completely defenseless and do have a few tricks up their sleeves"
4,Caterpie," Firstly, the large eyes on their heads can trick and confuse predators into thinking they are dealing with much larger Pokémon"
5,Caterpie," Secondly, the suction pads on their feet allow them to climb nearly any surface and escape from predators"
6,Caterpie," Additionally, Caterpie can use String Shot to slow down their enemies and buy time for escape"
7,Caterpie," Finally, the antennae on their heads release a very noxious odor when disturbed"
8,Caterpie," These defense mechanisms allow Caterpie to thrive in their native habitats, and combined with the large clutch sizes of Butterfree, make them are one of the most common Pokémon trainers encounter in forests"
0,Metapod,"When preparing to evolve, Caterpie spin cocoons around themselves"
1,Metapod," These cocoons, while still vulnerable when soft, will eventually harden into iron-hard casings, triggering their evolutions into Metapod"
2,Metapod,"To avoid attacks, these Pokémon stay motionless and simply ​wait"
3,Metapod," Metapod are remarkably patient, enduring whatever pain they must to reach their final stages"
4,Metapod, They must remain upright while biding their time or risk spilling out their innards
5,Metapod,"They are often regarded as nearly useless in battle, as freshly-caught Metapod are incapable of damaging foes at all (other than by using Struggle)"
6,Metapod," Luckily, however, the Caterpie line undergoes some of the quickest evolutions known to date, and it does not take very long for Metapod to finally evolve into Butterfree"
0,Butterfree,Butterfree consume honey from flowers and are excellent at detecting sources of it
1,Butterfree," They can trace minutes amounts of pollen back to flower patches, where they then feast on honey and nectar"
2,Butterfree," Using the hairs on their legs, Butterfree are also able to carry the sticky substance back to their nests"
3,Butterfree, They often fly as far as 6 miles (10 kilometers) to find nectar in blooming flowers
4,Butterfree,"Because of their water-resistant wings, Butterfree can often be found fluttering about in the misty upper levels of rainforests"
5,Butterfree," However, the high moisture is not necessary for their survival; they are simply highly tolerant of it, so they are also found in drier forests as well, often flying in small swarms to search out locations where honey is abundant"
6,Butterfree, They sometimes compete with Cutiefly for territory
0,Weedle,The stingers and brightly colored bodies of these Pokémon are intended to ward off potential predators who would not enjoy a mouthful of toxins
1,Weedle," Weedle also have a sharp sense of smell, using their nose-like proboscises to sense which leaves are safe to consume"
2,Weedle, Some Weedle even develop preferences for certain leaves
3,Weedle," They are voracious eaters, consuming their weight in leaves daily"
0,Kakuna,"Weedle seek out trees, branches or piles of leaves to hide in; when they evolve into Kakuna, their ability to move becomes severely restricted, and they can only inch about very slowly"
1,Kakuna, They can sometimes be seen hanging from tree branches on strands of silk in large numbers
2,Kakuna, Kakuna can only learn Harden naturally
3,Kakuna," When provoked, though, they can also extend poison barbs from their tips slightly to defend themselves"
4,Kakuna," These Pokémon try to conserve as much energy as possible for evolution, however, so they will only exert energy to unsheathe their barbs when absolutely necessary"
5,Kakuna,"Their hard cocoons protect the soft bodies within, which essentially liquify as they reconfigure themselves for evolution"
6,Kakuna," This process, a fervor of activity that contrasts their immobility, causes their internal body temperatures to rise drastically, so much so that the shells of Kakuna nearing evolution feel uncomfortably hot to the touch"
7,Kakuna, Their bodies only continue to heat up as they draw closer to their final transformations
0,Beedrill,Beedrill is extremely territorial and will attack anyone who gets too close to their hive
1,Beedrill,"
They are aggressive Pokémon and collectively attack the people around them"
2,Beedrill," As seen in ""Challenge of the Samurai"", they are also concerned with the welfare of their previous forms"
3,Beedrill," Beedrill are also vital to the ecosystems of Kantonian and Johtonian forests, helping prevent populations of Pokémon such as Paras and Pidgey from growing uncontrollably"
4,Beedrill," Trainers traveling in Beedrill territory are strongly advised to bring along Pokémon that can handle Beedrill and their attacks, such as Twineedle and Poison Jab, as well as to bring along a number Pecha Berries and Antidotes"
0,Pidgey,"Pidgey are very docile Pokémon that prefer to avoid confrontation with other Pokémon and humans altogether, hiding in tall grass to prevent themselves from being seen"
1,Pidgey," If cornered, though, they will attempt to escape by using Sand Attack to blind foes or Whirlwind to blow them away and buy themselves time to fly away"
2,Pidgey," When hunting, however, Pidgey often use these attacks to stir up their surroundings, exposing vulnerable insects for them to chase down"
3,Pidgey,These Pokémon have extremely keen senses of direction
4,Pidgey, They can always find their way back to their nests regardless of how far they have flown
5,Pidgey," Because of this, Pidgey were commonly used to send messages in the Kanto and Johto regions (much like the Wingull of Hoenn), at least until the advent of e-mail"
6,Pidgey," Many Pidgey have grown accustomed to and now dwell in urban areas due to this practice, flying to forests and fields only to hunt for food before returning to their nests in cities"
7,Pidgey, Some people still train Pidgey to deliver messages as a way of preserving tradition
0,Pidgeotto,Pidgeotto can be dangerous and should be approached with caution
1,Pidgeotto, This is due to its large size and aggressive territorial nature
2,Pidgeotto," It will attack anything with its sharp claws that wanders into its territory if it perceives the intruder as a threat, which it often does"
3,Pidgeotto," Pidgeotto is known to be carnivorous as they are shown to prey on several Pokémon such as Exeggcute, Caterpie, and Magikarp"
4,Pidgeotto,"most urban Pidgey nearing evolution migrate, often in flocks, to the nearby forests where they hunt; they then split up and stake out their own territories"
5,Pidgeotto,"Pidgeotto evolves from Pidgey starting at level 18, and evolves into Pidgeot starting at level 36"
0,Pidgeot,Pidgeot is even more dangerous than its previous evolutionary stage
1,Pidgeot," This is because it is bulkier and more aggressive than Pidgeotto, enabling it to catch much bigger prey"
2,Pidgeot," A favorite target is Magikarp, which Pidgeot can spot from a great distance"
3,Pidgeot, Trainers should be very careful when approaching this Pokémon in the wild
4,Pidgeot,"While still territorial, they no longer attack others for simply entering their turfs; rather, they wait and use their keen eyesight to watch from far away, seeing whether their intruders have ill intentions"
5,Pidgeot," If they are not endangering the Pokémon or their offspring, they will leave them be"
6,Pidgeot," However, they will defeat potential threats without hesitation using their powerful chest muscles to whip up windstorms strong enough to bend tall trees"
7,Pidgeot,"When approached, Pidgeot will spread out their wings to intimidate foes"
8,Pidgeot," If the tactic fails, they will quickly resort to flapping their wings to create powerful gusts before attacking with their talons"
9,Pidgeot," The beautiful, glossy feathers on their heads are symbols of speed in popular culture"
0,Raticate,"Raticate remain just as much a nuisance to homeowners, only more aggressive"
1,Raticate," Luckily, however, they also live in smaller groups, as large groups Rattata generally split into groups of 8 to 10 or so upon evolution"
2,Raticate,"  If a Raticate feels threatened, it will stand on its hind legs and let out a shrill shriek, calling its groupmates to join and defend it"
3,Raticate, The best way to defend against Raticate in the home is to prevent Rattata from invading in the first place before they evolve
4,Raticate," Alternatively, Persian and Purugly can also deal with Raticate"
5,Raticate,An Alolan Raticate will exert control over a group of Alolan Rattata that it will send out to search for food
6,Raticate," Since these Pokémon are primarily urban, they can find calorie-dense foods much more easily; additionally, since these bosses rarely leave their nests, they do not have to burn much energy on hunting or moving"
7,Raticate," Alolan Raticate can afford to be very picky about their food because they obtain so much of it, stockpiling the bulk of what their underlings bring in their nests"
8,Raticate, They have highly developed taste buds that help them discern the freshest items
9,Raticate," Ironically, this makes them useful to restaurant chefs, who often employ them in places where their cousins would be seen as pests"
10,Raticate," Alolan Raticate are fiercely territorial against others of their kind, engaging in 'turf wars' where Alolan Rattata groups fight one another for control"
11,Raticate, Only when all of its underlings have fallen will an Alolan Raticate emerge to fight on its own
13,Raticate," a trait they share with their mainland relatives, enable them to swim from island to island with surprising ease"
0,Spearow,"Spearow prey on insects, and sometimes Sunkern, in grassy areas by flushing them out with their stubby wings, and plucking at them with their beaks"
1,Spearow," Spearow are very territorial, constantly buzzing about and calling with a loud cry that can be heard from half a mile away"
2,Spearow," This cry serves to scare away predators and to keep in touch with other Spearow, though the latter is reserved as an alarm to its kind"
0,Fearow,"Like Spearow, Fearow are very territorial; luckily for travelers, though, they prefer to keep to themselves, only attacking those who draw too near to their nests or young"
1,Fearow, They use their narrow beaks to dig through soil or reach below the water to catch prey if needed
2,Fearow," Because they are known to attack Pokémon often viewed as “cute” and “popular”, such as Pichu, Fearow are often maligned in popular culture as wicked, heartless fighters"
3,Fearow," However, anyone who has ever raised a Fearow know that while wary and sometimes aggressive to strangers, they can also be very loyal and protective Pokémon; archaeologists have found carvings of them protecting people in Johto"
0,Ekans,Ekans often live in tall grassy areas where they slither with great stealth
1,Ekans," Ekans is also known to prey on Pokémon such as Pidgey, Spearow, and their eggs"
2,Ekans," Though often associated as a land Pokémon, they are capable of swimming long distances"
3,Ekans," When threatened in the wild, it will rattle its tail, flick its tongue to get its surroundings, and might use the move Glare to scare the opponent and have a possible getaway"
4,Ekans,Ekans evolves into Arbok at level 22
0,Arbok,This Pokémon is extremely territorial
1,Arbok, Arbok are known to be vengeful and are absolutely ruthless in pursuing anyone or thing that angers them
2,Arbok, They are also known to hunt smaller Pokémon like Woopers  and are capable of slithering to higher places such as trees to do so
0,Pikachu,Pikachu are usually friendly creatures that love to be cuddled
1,Pikachu," They love having their tails rubbed, especially at the base; they also like being stroked"
2,Pikachu," However, if threatened or angered, this Pokémon can be quite aggressive"
3,Pikachu," If someone pulls or steps on its tail, it is most likely it will bite or shock anyone in the area, including the one who pulled its tail"
4,Pikachu,"However, in the anime and in the wild of the Kanto region they live in big groups deep in forests and are wary of humans"
5,Pikachu,"In Kanto according to Ash in PJ035, Pikachu also greet one another by shocking them and sometimes they'll gather up in big groups to search for Thunderstones so they can evolve"
6,Pikachu,"The Pikachu that live in the Pikachu Valley in Alola in the anime, greet each other by sniffing one another and rubbing their tails together"
7,Pikachu," Also, they can start duels with one another by sending electric signals and the winner is decided when the opponent's tail is bitten"
0,Raichu,"Raichu is more confident, faithful and powerful than Pikachu, which makes them rivals, but sometimes it is just as friendly and cute"
1,Raichu," However, if it stores too much electricity in its body, it can become extremely short-tempered and aggressive"
2,Raichu," Yet, some of them are timid and will run away from people"
3,Raichu,"Usually, Alolan Raichu are often more playful than their normal counterparts"
4,Raichu, They use their surfboard-like tails to ride waves and to float in mid-air
5,Raichu," When their cheeks are rubbed, they emit both electricity and a sweet-smelling aroma"
6,Raichu," Locals of the Alola region often states that Raichu got this change from eating lots of fluffy pancakes, which are a common delicacy in the Alola region"
0,Sandshrew,Most Sandshrew are timid and they usually run away by digging holes
1,Sandshrew," Despite this nature, they can become braver and more courageous once they're trained by skilled trainers"
2,Sandshrew," When their skin becomes wrinkled due to moisture, they head to volcanic areas and dry themselves out through laying on a spot with lots of geothermal heat"
3,Sandshrew, They are implied to eat bug types
4,Sandshrew,"When some Sandshrew first arrived at the islands of Alola, they tried to scrape out niches in lowland desert areas"
5,Sandshrew," However, such places were plagued with frequent volcanic activity in Alola's past, making them unsuitable for most forms of life"
6,Sandshrew," Though Sandshrew are somewhat accustomed to geothermic activity, the frequency of such disturbances was so great that were forced to flee to higher ground"
7,Sandshrew,"Today, Alolan Sandshrew inhabit snowy mountains"
8,Sandshrew," Their skin has grown thicker and steel-like to help insulate them from the cold; additionally, they are also covered in thin layers of ice"
9,Sandshrew," Though this gives them great defensive capabilities, it also hinder their flexibility"
10,Sandshrew," Consequently, Alolan Sandshew cannot curl up into balls like their mainland relatives"
11,Sandshrew," To move, Alolan Sandshrew slide across slick ice on their bellies like curling stones"
12,Sandshrew," A popular competition in Alolan festivals, in fact, is Sandshrew sliding, where contestants try to slide their Pokémon as far down the ice as possible"
13,Sandshrew, Alolan Sandshrew also have developed claws that help them cling onto ice without slipping
14,Sandshrew," When attacked, they will hold tight to the slippery ground in order to keep their soft undersides safe from predators"
15,Sandshrew, This compact form also keeps them low to the ground and prevents them from being blown about during powerful blizzards
16,Sandshrew, Thier diet is left unspecified
0,Sandslash,"Sandslash is a resilient creature that lives in desert areas, particularly areas close to dry forests"
1,Sandslash," It is commonly seen either climbing up trees or digging into the dusty ground, both activities which it is suited for thanks to its claws"
2,Sandslash," However, though its claws are strong, they are not indestructible; they occasionally snap when Sandslash digs at an incredibly fast pace"
3,Sandslash," The claws will have started to grow back by the next day, though"
4,Sandslash," The most notable behavior that Sandslash performs to cope with its environment is its method of curling up its body to become in essence a ball covered with large spikes, much like the hedgehog, armadillo, or pangolin"
5,Sandslash, Sandslash rolls up so that the spikes shade its inner body from the sun and therefore prevent heatstroke that can result from the scorching heat that accompanies daytime in the desert
6,Sandslash,Sandslash is a fully-armed predator when dealing with other Pokémon in the desert areas that form its natural environment
7,Sandslash," When attacked, Sandslash rolls up into its spherical guise and its spikes arrange to form its defense, after which the Pokémon will either roll away to escape or roll towards the opponent to attack"
8,Sandslash," When trying to flee in this manner, Sandslash exerts specific force on the ground to kick up small-but-blinding dust clouds in its wake, hoping to discourage other Pokémon from following it"
9,Sandslash," When attacking in this manner, though, Sandslash proves itself adept at making the opponent flinch with the spikes of its rolling body just before uncoiling itself and hacking with its claws"
10,Sandslash, It prefers attacking from higher elevations when targeting prey
11,Sandslash,"It uses large, hooked claws to cut a path through deep snow as it runs"
12,Sandslash," On snowy mountains, this Sandslash is faster than any other Pokémon"
13,Sandslash," Many people climb snowy mountains, hoping to see the icy spikes of these Pokémon glistening in the light of dawn"
14,Sandslash,"Sandslash evolves from Sandshrew at level 22, and Alolan Sandslash evolves from Alolan Sandshrew when an Ice Stone is used on it"
0,Nidorina,"Like Nidoran♀, Nidorina tend to avoid confrontation but are fiercely defensive of their young"
1,Nidorina,"Like the rest of their relatives, they lives in burrows in open plains with their large family groups"
2,Nidorina," These Pokémon are very affectionate with those in their tightly bonded family groups, and can easily become nervous or even upset when separated from them"
3,Nidorina," When threatened, they will band together and screech loudly to bewilder predators with ultrasonic waves"
4,Nidorina," To feed their young, they first chew food before spitting it out for their children to eat"
0,Nidoqueen,They lead Nidoran families alongside Nidoking
1,Nidoqueen," These Pokémon are famously motherly, willing to defend their young with their lives"
2,Nidoqueen,"These Pokémon will block the entrances to their burrows using their bodies, with their venomous spines facing outwards, in order to defend their young"
3,Nidoqueen, Nidoqueen are also known to set off earth-shaking tremors to scare potential attackers from their burrows
4,Nidoqueen, Younger Nidoran♀ and Nidorina look up to Nidoqueen—it is not uncommon for wandering Nidorina to end up lost in the mountains while searching for Moon Stones to evolve like their mothers
5,Nidoqueen, Nidoqueen placate crying offspring by placing them between the spines on their backs; these spines never secrete venom while the young are nearby
0,Nidorino,Nidorino are extremely aggressive Pokémon that are quick to Anger like Mankey
1,Nidorino," One he detects an enemy, all his spikes will bristle up at once and will go all out to challenge the foe(which may explain its other abilities)"
2,Nidorino,"These Pokémon generally spend the day scouting and searching for food, returning to their burrows only at night to rest"
3,Nidorino, They bring back resources to share with the rest of their families
4,Nidorino," However, even the slightest noise will awaken sleeping Nidorino, thanks to their highly sensitive ears"
5,Nidorino," They will not hesitate to locate the source of a foreign sound and attack it with their horns, especially if the threat appears to be endangering their young"
0,Nidoking,"Nidoking attacks his foes by sweeping his large and bulky tail, his horn also contains venom"
1,Nidoking,"In Nidoran families, Nidoking assume the roles of protectors and hunters, patrolling in search of food to bring back to their burrows for their mates and offspring"
2,Nidoking,"An enraged Nidoking is particularly dangerous, as it will go on a rampage that can only be stopped either by defeating the Pokémon—a difficult task that only a few Pokémon can accomplish—or by being calmed down by its partner Nidoqueen"
3,Nidoking,Threatening their families is one of the most common triggers for such attacks
4,Nidoking," Luckily, their rarity in the wild in combination with their tendency to stay away from human settlements makes berserk Nidoking a very rare, albeit still very dangerous, problem in most metropolitan areas"
0,Clefairy,Clefairy is very timid and rarely appears in front of humans
1,Clefairy," But it is very clever, and there are awareness among social and religious groups"
2,Clefairy, Clefairy is a nocturnal Pokémon and will come out during the full moon to dance
3,Clefairy,Clefairy evolves into Clefable when a Moon Stone is used on it
4,Clefairy, Cleffa evolves into Clefairy when it levels up with high friendship
0,Clefable,Clefable is shyer than Clefairy
1,Clefable," Due to its highly sensitive hearing, it will avoid noisy areas"
2,Clefable,"On moonlit nights, they can rarely be seen walking towards secluded, deserted lakes; they are said to gaze at the moon in longing to return home, straining their ears to hear the voices of their brethren on its surface"
3,Clefable, It is said seeing a pair of them is a sign of a happy marriage
0,Vulpix,Vulpix are very intelligent
1,Vulpix," When they face a stronger enemy, they'll distract the enemy by feigning injury and then escape"
2,Vulpix,Vulpix is capable of manipulating fire to such precision as to create floating wisps of flame
3,Vulpix," These wisps are sometimes mistaken for ghosts by humans, but Vulpix uses them to assist in catching prey"
4,Vulpix,"When the temperature outside increases, it will expel flames from its mouth to prevent its body from overheating"
5,Vulpix,"Alolan Vulpix, which live on cold mountains, usually form a group varying from 2-5 members, helping and living with one another"
6,Vulpix," They can be found in small packs, called skulks, that are led and protected by Ninetales"
7,Vulpix, Alolan Vulpix is believed to have arrived in the region at the same time as humans but moved to the snow-capped mountain to avoid other Pokémon
8,Vulpix," Alolan Vulpix can expel breath as cold as -58°F (-50°C), which is capable of freezing anything as a means to protect themselves from enemies"
9,Vulpix," While they are not suited to warmer environments, their tails can produce ice to lower the surrounding temperature if needed"
10,Vulpix," An old, local name for this Pokémon is ""Keokeo"", referring to their white pelt"
11,Vulpix, Weavile is a natural predator of Alolan Vulpix
0,Ninetales,Ninetales have high intelligence and strong obsession
1,Ninetales, They can live for a thousand years when they use the power of their tails
2,Ninetales," They never let go of their vendetta against ones they have a grudge on, including the person's descendants"
3,Ninetales,"Alolan Ninetales are very gentle, and they will help people who are in danger"
4,Ninetales," Nonetheless, they won't show mercy to anyone who intrudes their territory"
5,Ninetales, It will punish any threat to its pack of Vulpix
0,Jigglypuff,Jigglypuff has very stretchy skin and will inflate itself if it gets angry
1,Jigglypuff," In the anime, it has been shown to draw on people's faces after they have fallen asleep"
2,Jigglypuff," However, most Jigglypuff are not accustomed to Pokémon with abilities like Insomnia, which prevent drowsiness"
3,Jigglypuff," They will sing endlessly to try to put such Pokémon to sleep, putting themselves in danger of asphyxiation"
4,Jigglypuff," Luckily, this behavior is generally a one-time mistake, and a Jigglypuff will quickly learn its lesson"
5,Jigglypuff," Recently, it was discovered that different populations of Jigglypuff utilize different methods of singing, ranging from lilting melodies to near-shouts"
6,Jigglypuff,Jigglypuff is the evolved form of Igglybuff
7,Jigglypuff, It also evolves into Wigglytuff by use of a Moon Stone
0,Wigglytuff,Wigglytuff are very gentle creatures that detest fighting
1,Wigglytuff," Even when they clash with one another, they only compete by inhaling air to see whose size increases the most"
2,Wigglytuff, It sheds its fine fur when the season changes
3,Wigglytuff, The fur is gathered and spun into a luxurious yarn
4,Wigglytuff,"Sleeping next to a one is said to be an amazing experience, and a few quirky luxury hotels tote Wigglytuff “sleeping buddies” for extra charge—a practice that benefits both person and Pokémon, as Wigglytuff love the company of people"
5,Wigglytuff,"They grow steadily to enormous sizes to scare off foes; the largest purportedly could grow to 20 times its resting size, though this specimen was never proven to exist"
6,Wigglytuff," Once inflated, Wigglytuff can float and bounce around lightly like balloons"
7,Wigglytuff, They compete with one another to see who can become the largest
8,Wigglytuff, Their large eyes are always covered with a thin layer of tears that wash away any particles that fall onto their delicate surfaces
9,Wigglytuff,Wigglytuff is the evolved form of Jigglypuff by the use of a Moon Stone
10,Wigglytuff, Wigglytuff is the final form of Igglybuff
11,Wigglytuff,"Wigglytuff appeared in Pokémon Mystery Dungeon: Explorers of Time, Darkness, and Sky, as the leader of the guild"
12,Wigglytuff," He becomes ""the grand master of all things evil"" for the guild graduation"
0,Golbat,"Like Zubat, Golbat are found in caves and dark areas worldwide"
1,Golbat," Unlike Zubat, however, Golbat are hematophagous, consuming the blood of Pokémon and humans alike"
2,Golbat, They use their sharp fangs to puncture the skins of victims
3,Golbat," Their saliva contains a substance that poisons and immobilizes prey, allowing them to drink blood at their leisure"
4,Golbat," Golbat can drink up to 10 ounces of blood in one sitting, possibly fatal for smaller victims"
5,Golbat," After doing so, however, their flight often becomes clumsy and erratic due to their heavy weights after large meals; they may become so heavy that they fall to the ground (and become easy prey themselves)"
6,Golbat," Luckily, this feasting keeps them satisfied for a while; they only search for food during moonless nights when darkness conceals them"
7,Golbat," Recently, it has been discovered that Golbat broods will share blood with one another during times of scarcity; however, selfish Golbat that do not share blood when asked will find that other brood members will refuse to share with them in the future"
8,Golbat, Their fangs are hollow and consequently fragile
9,Golbat," Notably, Golbat avoid light, metal (perhaps due to their poison being ineffective against Steel-types), and oddly enough, Durin Berries"
10,Golbat," While no one is quite sure why, Golbat tend to steer clear of them despite experiencing no ill effects upon consuming them"
11,Golbat," Surprisingly, Golbat are quite adroit on their oddly-shaped feet, which are adapted to create silent footsteps as they sneak up behind sleeping prey"
0,Oddish,"Oddish is a nocturnal Pokémon, using moonlight rather than the sun's rays for photosynthesis"
1,Oddish," During the day, Oddish avoids the sun's heat and brightness by burying itself into the earth, leaving only the leaves on top of its head visible above ground"
2,Oddish," This way, it disguises itself as a plant, misdirecting its carnivorous diurnal predators"
3,Oddish,"While buried, Oddish nourishes itself by absorbing nutrients from the soil using its feet, which are said to temporarily change into a root-like structure for this purpose"
4,Oddish,"If anyone pulls at Oddish's leaves and tries to uproot it while it is buried underground, Oddish will react by shrieking in a horrible voice"
5,Oddish,"Once nightfall comes, exposure to moonlight causes Oddish to become much more active"
6,Oddish," It extracts itself from the ground, and its extremities change back into the shape of legs"
7,Oddish," It then proceeds to bathe itself in the moonlight and grow, as well as wander around scattering its seeds"
8,Oddish," With the coming of dawn, the cycle repeats"
9,Oddish,Oddish evolves into Gloom at Level 21
0,Vileplume,"The smell of the flowers attracts prey; when they draw close, Vileplume flap their petals, cloaking themselves and their targets in toxic pollen that quickly immobilizes victims"
1,Vileplume," Even as they walk, Vileplume scatter pollen out of their blooms, turning the surrounding air a sickly yellow"
2,Vileplume," This pollen can cause poisoning and paralysis in large amounts, but can also trigger massive allergy attacks in even trace amounts"
3,Vileplume," Like Oddish and Gloom, Vileplume may hide partially buried in the soil, only exposing their flowers for unwary prey to investigate"
4,Vileplume," Because of this, it is inadvisable to approach large flowers in swamps or jungles, as they may actually be Vileplume in disguise waiting for an opportunity to scatter pollen"
0,Paras,"Paras are covered in fungal spores upon birth, specifically that of a variety known as tochukaso"
1,Paras," As a Paras grows, so do the mushrooms on its back, which are not present at birth and do not emerge until later in development"
2,Paras," Paras feed by burrowing and sucking nutrients out of tree roots; in turn, the mushrooms drain nutrients out of their host Paras's bodies"
3,Paras, Paras must feed ravenously as a result
4,Paras," Recent discoveries have shown that the mushrooms also control part of their hosts’ brains, and in fact are the ones that signal for Paras to burrow for roots"
5,Paras," Paras can be found in damp, dark areas where fungi thrive; sunlight and dryness can damage their bodies"
0,Parasect,It has been shown in Pokédex entries that Parasect gather in groups to feed off of the nutrients from trees (mostly the bark and roots)
1,Parasect, their fungi entirely overtake their bodies and minds
2,Parasect, Parasect dwell in damp places due to their fungi's own preferences for moisture (they often compete with Shiinotic for land)
3,Parasect, They are highly aggressive
