,Pokemon,variable,value
137,Latias,Caption,a red and white bird with yellow eyes
138,Shelmet,Caption,a cartoon character with a big smile on his face
139,Sawk,Caption,a cartoon character in a blue and white outfit
140,Pawmo,Caption,a yellow pokemon pikachu flying through the air
141,Venusaur,Caption,a drawing of a monster with a crown on its head
142,Azelf,Caption,a blue and white cartoon character holding a flower
143,Sinistea,Caption,a drawing of a purple hat on top of a cup
144,Quaxwell,Caption,a cartoon character with blue hair and yellow shoes
145,Fletchling,Caption,a cartoon bird with black and orange feathers
146,Obstagoon,Caption,a drawing of a cartoon character with his tongue out
147,Musharna,Caption,a drawing of a cat sleeping on its back
148,Drampa,Caption,a blue and white dragon sitting on top of a blue ground
149,Liepard,Caption,a very cute looking cat with big eyes
150,Aipom,Caption,a purple monkey with a gold crown on it's head
151,Arboliva,Caption,a drawing of a tree with fruit on it
152,Xurkitree,Caption,a black and white cartoon character with a star on his head
153,Meditite,Caption,a cartoon character sitting on the ground
154,Heatmor,Caption,a cartoon character with a banana in his hand
155,Seaking,Caption,a red and white fish with black spots
156,Chandelure,Caption,a black and purple logo with flames coming out of it
157,Ivysaur,Caption,a blue pokemon with a pink flower on its head
158,Calyrex,Caption,a white and gray pokemon with a green balloon
159,Gible,Caption,a cartoon blue shark with its mouth open
160,Corphish,Caption,a red and white cartoon crab with its mouth open
161,Octillery,Caption,a red cartoon animal with yellow spots on its feet
162,Cubone,Caption,a drawing of a cartoon character with scissors
163,Crocalor,Caption,a cartoon character with an orange hat on his head
164,Manectric,Caption,a blue and yellow pokemon character with its mouth open
165,Dusclops,Caption,an image of a cartoon character
166,Wo-Chien,Caption,a cartoon picture of a monster sitting on top of a pile of wood
167,Gengar,Caption,a cartoon character with a big smile on his face
168,Larvitar,Caption,a green cartoon character with red eyes
169,Rampardos,Caption,a gray and blue cartoon character with horns
170,Dusknoir,Caption,a cartoon character in a gray and yellow outfit
171,Wigglytuff,Caption,a pink bunny sticker with big eyes
172,Castform,Caption,a white cartoon character with big eyes
173,Quaxly,Caption,a blue and white bird with a blue hat
174,Chinchou,Caption,a drawing of a blue fish with yellow eyes
175,Litleo,Caption,a cartoon animal with a red mohawk on its head
176,Tyrogue,Caption,an image of a cartoon character doing a trick
177,Floragato,Caption,a green and white cat with big eyes
178,Grapploct,Caption,a blue and yellow octopus with yellow eyes
179,Ditto,Caption,a cartoon character with a smile on his face
180,Koffing,Caption,an image of a cartoon character with a skull and crossbone
181,Scrafty,Caption,a cartoon character with a red mohawk sitting down
182,Kakuna,Caption,a very cute looking cartoon character with big eyes
183,Cleffa,Caption,a cartoon character with a hat on his head
184,Gastrodon,Caption,a blue and green sea horse with a black background
185,Wingull,Caption,a white and blue airplane flying through the sky
186,Granbull,Caption,a purple cartoon dog with a black collar
187,Sunflora,Caption,a cartoon sunflower with a happy face
188,Tarountula,Caption,a white ball of yarn sitting on top of a table
189,Delcatty,Caption,a drawing of a cat wearing a purple hat
190,Whismur,Caption,a purple cartoon character with yellow ears
191,Flaaffy,Caption,a pink and black cartoon character sitting on the ground
192,Gastly,Caption,a cartoon character with a big smile on his face
193,Growlithe,Caption,an orange and white furry animal sitting down
194,Sigilyph,Caption,a cartoon bird with colorful wings and a beak
195,Cascoon,Caption,a white object with red eyes and spikes
196,Hydreigon,Caption,a very cute looking pokemon with big eyes
197,Cryogonal,Caption,a bunch of cubes floating in the air
198,Stunfisk,Caption,a cartoon bird with a yellow hat on its head
199,Stantler,Caption,a drawing of a deer with horns on it's head
200,Dracovish,Caption,a cartoon character flying through the air
201,Rapidash,Caption,a drawing of a white horse with yellow and red flames
202,Steenee,Caption,a cartoon character with green hair and a pink dress
203,Snubbull,Caption,a pink and black cartoon character with big ears
204,Crabominable,Caption,a couple of pokemons that are next to each other
205,Surskit,Caption,a blue spider with a yellow hat on its head
206,Ampharos,Caption,a yellow pokemon pikachu with red eyes
207,Tangela,Caption,a cartoon character with a blue hair and eyes
208,Clodsire,Caption,a sticker of an animal laying down
209,Orthworm,Caption,a very cute red and white toy with a big smile
210,Arbok,Caption,a cartoon snake with yellow eyes and a big smile
211,Amaura,Caption,a blue dinosaur with a yellow crown on its head
212,Lucario,Caption,a very cute looking pokemon with big red eyes
213,Rhydon,Caption,a very cute looking pokemon with a big smile
214,Hatterene,Caption,a drawing of a cartoon character wearing a hat
215,Pupitar,Caption,a very cute looking cartoon character with big eyes
216,Elekid,Caption,a yellow cartoon character with a black background
217,Goomy,Caption,a cartoon character with a big smile on his face
218,Vullaby,Caption,a pink and black bird sitting on top of a egg
219,Venipede,Caption,a red and green bug with yellow eyes
220,Doublade,Caption,a couple of cartoon animals with big eyes
221,Bellibolt,Caption,a cartoon character holding a frying pan
222,Regieleki,Caption,a yellow and blue object with a star on it
223,Pignite,Caption,a very cute looking cartoon character with big eyes
224,Monferno,Caption,a cartoon monkey with a blue and yellow mask
225,Sandile,Caption,a cartoon armadion with sunglasses and a pink tongue
226,Mr. Rime,Caption,a very cute looking cartoon character with a big smile
227,Brionne,Caption,a blue and white cartoon character flying through the air
228,Machamp,Caption,a drawing of a cartoon character
229,Wailord,Caption,a blue and white whale floating in the air
230,Rhyhorn,Caption,a very cute looking pokemon with big eyes
231,Iron Jugulis,Caption,a very cute looking cartoon character with pink hair
232,Ninjask,Caption,a sticker of a bee with wings
233,Grotle,Caption,a cartoon of a turtle with green leaves on its head
234,Dragonair,Caption,a blue and white snake with wings on its head
235,Zebstrika,Caption,a black and white zebra with blue eyes
236,Zarude,Caption,a black cat with red eyes holding a green rope
237,Pikachu,Caption,a cartoon pikachu with a big smile on its face
238,Typhlosion,Caption,a cartoon picture of a very big furry animal
239,Aromatisse,Caption,a purple and yellow pokemon character with big eyes
240,Sizzlipede,Caption,a drawing of a red snake with yellow eyes
241,Salandit,Caption,a black and orange lizard on a black background
242,Chimecho,Caption,a cartoon character with a smile on his face
243,Diggersby,Caption,a cartoon bunny holding a piece of cheese
244,Trevenant,Caption,a drawing of a creature with green leaves on its body
245,Audino,Caption,a pink and yellow cartoon character with big eyes
246,Dodrio,Caption,a couple of birds standing next to each other
247,Azumarill,Caption,an image of a blue bunny with an egg
248,Perrserker,Caption,a cartoon of a monster with a big mouth and sharp teeth
249,Aggron,Caption,a drawing of a gray and white pokemon character
250,Totodile,Caption,a blue cartoon dinosaur with its mouth open
251,Tauros,Caption,a drawing of a bison with long horns
252,Cottonee,Caption,a green and white cloud with orange eyes
253,Araquanid,Caption,a plate with a bunch of white flowers on it
254,Gallade,Caption,a blue and white bird with a hat on it's head
255,Tropius,Caption,a very cute looking cartoon character with a big leaf
256,Silcoon,Caption,a gray shark with red eyes and sharp teeth
257,Bouffalant,Caption,an animal with horns and horns on it's head
258,NidoranΓÖÇ,Caption,a cartoon of a cat with its mouth open
259,Dialga,Caption,a drawing of a blue and white pokemon
260,Wattrel,Caption,a bird with a yellow beak and a black body
261,Frigibax,Caption,a cartoon character with a surprised look on his face
262,Woobat,Caption,a cartoon bat with a big smile on it's face
263,Archen,Caption,a very cute looking pokemon with its mouth open
264,Ho-oh,Caption,a colorful bird with its wings spread out
265,Scorbunny,Caption,a white and orange cartoon character flying through the air
266,Noibat,Caption,a drawing of a bat with yellow eyes
267,Wartortle,Caption,a very cute looking pokemon with big eyes
268,Chien-Pao,Caption,a drawing of a white dragon with sharp teeth
269,Eevee,Caption,a cartoon of a pikachu sitting down
270,Mewtwo,Caption,a cartoon character with a cat like body
271,Buneary,Caption,a cartoon bunny holding a pink cloud in the air
272,Sableye,Caption,a drawing of a purple cat with big eyes
273,Bidoof,Caption,a brown and white animal with a big nose
274,Rookidee,Caption,a blue and yellow bird with red eyes
275,Scovillain,Caption,two green and red cartoon characters facing each other
276,Braixen,Caption,a drawing of a fox holding a stick
277,Elgyem,Caption,a blue cartoon character with green eyes
278,Pidgey,Caption,a cartoon bird with an open beak
279,Electabuzz,Caption,a yellow and black cartoon character
280,Quagsire,Caption,a cartoon character sitting on the ground with his hands up
281,Lycanroc Midday Form,Caption,a drawing of a furry animal with blue eyes
282,Miltank,Caption,a pink and black cartoon character holding a ball
283,Guzzlord,Caption,a drawing of a black and yellow monster
284,Greavard,Caption,a cartoon dog with a candle in its mouth
285,Hattrem,Caption,a blue and white pokemon character with big eyes
286,Hatenna,Caption,a pink and blue pokemon character laying down
287,Anorith,Caption,an image of a turtle with big eyes
288,Shelgon,Caption,a drawing of a white and black animal with yellow eyes
289,Cinccino,Caption,a cartoon bunny with a white blanket around it's neck
290,Toxapex,Caption,a drawing of a cartoon character with a big head
291,Swalot,Caption,a purple ghost with black eyes and a yellow nose
292,Lurantis,Caption,a pink and white animal with green leaves on its back
293,Tyrunt,Caption,a drawing of a dragon with its mouth open
294,Wurmple,Caption,a red and white pokemon with gold spikes
295,Gloom,Caption,a cartoon character with a bunch of balls on his head
296,Piloswine,Caption,a brown furry animal with long hair
297,Gurdurr,Caption,a cartoon character holding a giant red object
298,Amoonguss,Caption,a pink and white mushroom with a pink nose
299,Morpeko Full Belly Mode,Caption,a drawing of a cartoon character with red eyes
300,Tinkatuff,Caption,a cartoon character holding a baseball bat
301,Mankey,Caption,a drawing of a furry animal with its arms in the air
302,Illumise,Caption,a blue and yellow cartoon character flying through the air
303,Cacturne,Caption,a green and white stuffed animal wearing a green hat
304,Tinkatink,Caption,a pink cartoon character holding a purple object
305,Igglybuff,Caption,a pink cartoon character with big eyes
306,Maschiff,Caption,a cartoon character with yellow hair and a nose
307,Goldeen,Caption,a colorful fish with a horn on its head
308,Qwilfish,Caption,a cartoon character with an angry look on his face
309,Abra,Caption,a yellow cartoon character sitting on the ground
310,Purrloin,Caption,a purple cat with green eyes sitting down
311,Walrein,Caption,a cartoon of a blue bird with a large beak
312,Gulpin,Caption,a green cartoon character with a leaf on its head
313,Sandy Shocks,Caption,an image of a cartoon character with two eyes
314,Munchlax,Caption,a cartoon character with big eyes and a big mouth
315,Crobat,Caption,a purple bat with yellow eyes and yellow eyes
316,Lechonk,Caption,a cartoon pig with an angry look on its face
317,Volcanion,Caption,a cartoon character with a big head and a big body
318,Lillipup,Caption,a cartoon dog with a tongue sticking out
319,Xerneas,Caption,a drawing of a horse with colorful feathers on its head
320,Keldeo Ordinary Form,Caption,a pony with red hair and blue wings
321,Lapras,Caption,a drawing of a blue sea turtle holding a rock
322,Gyarados,Caption,a blue and yellow dragon with its mouth open
323,Sneasel,Caption,a cartoon character with a red tail and a blue body
324,Murkrow,Caption,a blue bird with a hat on its head
325,Scream Tail,Caption,a pink cat with yellow eyes sitting on the ground
326,Tentacool,Caption,a blue and red mushroom with red eyes
327,Skuntank,Caption,a purple and white furry animal with long legs
328,Watchog,Caption,a cartoon character in a striped outfit
329,Bibarel,Caption,a cartoon animal sitting on the ground
330,Oshawott,Caption,a stuffed animal with a blue shirt on
331,Pidgeotto,Caption,a bird with a pink bandanna on its head
332,Espurr,Caption,a drawing of an animal with big pink eyes
333,Lickilicky,Caption,a pink and yellow cartoon character
334,Houndoom,Caption,a cartoon of a black and orange dog
335,Nidorino,Caption,a pink dragon with spikes on its head
336,Hariyama,Caption,a cartoon character with a yellow shirt and blue pants
337,Milcery,Caption,a drawing of a white object floating in the air
338,Houndstone,Caption,a drawing of a large animal with a long tail
339,Talonflame,Caption,a red and black bird flying through the air
340,Dustox,Caption,a cartoon character flying through the air
341,Mimikyu,Caption,a drawing of a cartoon character holding a knife
342,Naclstack,Caption,an image of a cartoon character made out of blocks
343,Kommo-o,Caption,a yellow and gray dragon with red eyes
344,Seel,Caption,a cartoon cat with its mouth open and tongue out
345,Weepinbell,Caption,a cartoon banana with its mouth open
346,Iron Valiant,Caption,a picture of a green and white pokemon
347,Pyukumuku,Caption,a black cat with pink spikes on its head
348,Annihilape,Caption,a cartoon character with white hair and grey eyes
349,Pineco,Caption,a very cute looking animal with big eyes
350,Corvisquire,Caption,a blue and black bird with red eyes
351,Swablu,Caption,a blue bird with white clouds on its wings
352,Heracross,Caption,a very cute looking cartoon character with big eyes
353,Skitty,Caption,a pink pokemon character holding a pink balloon
354,Regidrago,Caption,a cartoon picture of a monster holding a ball
355,Masquerain,Caption,an orange and white bird with big eyes
356,Minun,Caption,a cartoon of a pikachu running
357,Flutter Mane,Caption,a drawing of a blue bird with red feathers
358,Cursola,Caption,a drawing of a strange looking object with arms and legs
359,Trapinch,Caption,a cartoon character with a broken arm
360,Girafarig,Caption,a cartoon giraffe with its mouth open
361,Tyrantrum,Caption,a very cute looking pokemon with a big mouth
362,Graveler,Caption,a very cute looking cartoon character with big eyes
363,Kadabra,Caption,a yellow pokemon character holding a spoon and fork
364,Poochyena,Caption,a gray cat with yellow eyes and a black background
365,Electivire,Caption,a yellow and black cartoon character with horns
366,Cosmog,Caption,a picture of a cartoon character with stars in the sky
367,Shiinotic,Caption,a cartoon character with a mushroom on his head
368,Melmetal,Caption,a robot that is standing up with two arms
369,Ledian,Caption,a red and yellow cartoon character with big eyes
370,Popplio,Caption,a blue bunny with a pink nose
371,Polteageist,Caption,a teapot with a purple and yellow design on it
372,Primeape,Caption,a furry animal with a ring around its neck
373,Toxtricity Amped Form,Caption,a very cute looking pokemon with big wings
374,Skiploom,Caption,a cartoon character with a flower on top of his head
375,Glastrier,Caption,a drawing of a blue and white unicorn
376,Vanillish,Caption,an ice cream cone with a smiley face
377,Probopass,Caption,a cartoon bird with a red hat on its head
378,Oricorio Baile Style,Caption,a red bird with a black and white stripe on it's wings
379,Chesnaught,Caption,a cartoon character with a green and white outfit
380,Kyurem,Caption,a gray and yellow pokemon type pokemon type pokemon type pokemon type pokemon type pokemon type
381,Pumpkaboo Average Size,Caption,a drawing of an animal with horns and eyes
382,Drakloak,Caption,a cartoon character with a hat on his head
383,Carnivine,Caption,a green monster with large teeth and big eyes
384,Torracat,Caption,a black and red cat with yellow eyes
385,Cherrim,Caption,a yellow and pink pokemon pikachu with big eyes
386,Roaring Moon,Caption,a red and blue bird with large wings
387,Pinsir,Caption,a cartoon character with horns and fangs on his face
388,Ursaring,Caption,a brown bear with a yellow circle on its chest
389,Snorunt,Caption,an image of a cartoon character with a big mouth
390,Samurott,Caption,a very cute looking pokemon with a big tail
391,Necrozma,Caption,a black and white image of a robot
392,Charcadet,Caption,a cartoon character with a yellow and red outfit
393,Cetoddle,Caption,a cartoon character flying through the air
394,Smeargle,Caption,a cartoon character holding a green object
395,Rellor,Caption,a cartoon picture of a bug crawling around a ball
396,Inteleon,Caption,a blue and yellow lizard with a long tail
397,Gardevoir,Caption,a drawing of a woman in a green and white dress
398,Magby,Caption,a pink and yellow pokemon character
399,Crabrawler,Caption,a purple and blue cartoon character sitting on the ground
400,Haxorus,Caption,a cartoon of a godzilla like creature with red horns
401,Toedscool,Caption,a cartoon character with yellow eyes and a nose
402,Koraidon,Caption,a drawing of a red and black dragon
403,Smoochum,Caption,a pink and yellow pokemon character with big blue eyes
404,Foongus,Caption,a white mushroom with a red nose and a black background
405,Hippowdon,Caption,a cartoon dinosaur with its mouth open
406,Geodude,Caption,a cartoon character that is flexing his muscles
407,Ursaluna,Caption,a drawing of a monster with its mouth open
408,Delibird,Caption,a red and white bird with big eyes
409,Oranguru,Caption,a cartoon character with a green leaf in his hand
410,Drapion,Caption,a very cute looking purple and white pokemon
411,Scyther,Caption,a green and white cartoon character with a sword
412,Stunky,Caption,a very cute looking purple and white animal
413,Swadloon,Caption,a cartoon character with green hair and eyes
414,Klefki,Caption,a cartoon character holding a pair of scissors
415,Magcargo,Caption,a cartoon fire hydrant with a flame coming out of it
416,Reuniclus,Caption,a cartoon character flying through the air
417,Vivillon,Caption,a pink butterfly with a black and white stripe on it's wings
418,Sirfetch'd,Caption,a cartoon bird with a sword in its hand
419,Honedge,Caption,a drawing of a cartoon character with a blue tail
420,Entei,Caption,a very angry looking animal with sharp teeth
421,Servine,Caption,a green and yellow bird with leaves on its back
422,Zubat,Caption,a blue and purple bat flying through the air
423,Umbreon,Caption,a drawing of a wolf with glowing eyes
424,Froslass,Caption,a white and blue cartoon character with big eyes
425,Pheromosa,Caption,a drawing of a woman with a bow and arrow
426,Boldore,Caption,a blue and orange pokemon character with yellow eyes
427,Landorus Incarnate Forme,Caption,a picture of a cat sitting on top of a cloud
428,Genesect,Caption,a purple cartoon character with a yellow light on his head
429,Larvesta,Caption,a cartoon character with red hair and a white face
430,Meowscarada,Caption,a green and white cat with a flower in its hand
431,Golett,Caption,a cartoon character with a blue outfit and a brown belt
432,Kartana,Caption,a pair of scissors that are cut into pieces
433,Lopunny,Caption,a cartoon of a rabbit with wings on it's back
434,Voltorb,Caption,a red and white ball with an angry look on it
435,Regirock,Caption,an orange and white object with a black background
436,Cherubi,Caption,a pink object with a green leaf on top of it
437,Barboach,Caption,a blue and white insect with a black background
438,Escavalier,Caption,a drawing of a cartoon character with horns
439,Vileplume,Caption,a mushroom with a ring on it's head
440,Mismagius,Caption,a cartoon character with a purple outfit and a purple hat
441,Litten,Caption,a drawing of a black cat with yellow eyes
442,Sealeo,Caption,a blue bird with a white wing on it's head
443,Dreepy,Caption,a drawing of a cartoon character with yellow eyes
444,Wooper,Caption,a drawing of a blue cartoon character with a smile on his face
445,Snivy,Caption,a green and yellow bird with big eyes
446,Blastoise,Caption,a blue and white cartoon character holding a brown turtle
447,Snorlax,Caption,a stuffed animal with spikes on it's legs
448,Persian,Caption,a cartoon of a cat with big eyes
449,Beartic,Caption,a white bear with a blue and red tie on it's chest
450,Gothorita,Caption,a black and white cat with blue eyes
451,Starly,Caption,a cartoon bird sitting on the ground
452,Bewear,Caption,a black and pink bear with pink paws
453,Nymble,Caption,a blue and white cartoon character with a yellow eye
454,Eelektrik,Caption,a cartoon fish with a big smile on its face
455,Whimsicott,Caption,a cartoon tree with green leaves on its head
456,Houndour,Caption,a black and white dog with a red nose
457,Appletun,Caption,a cartoon of a tortoise and a mushroom
458,Quilava,Caption,a cartoon character with a fire on his head
459,Magikarp,Caption,a cartoon fish with its mouth open and tongue out
460,Rattata,Caption,a drawing of a purple cat with its mouth open
461,Dudunsparce Two-Segment Form,Caption,a yellow and blue cartoon character flying through the air
462,Skeledirge,Caption,a picture of a dragon with fire coming out of its mouth
463,Tapu Lele,Caption,a pink and black animal sitting on top of a pink ball
464,Tornadus Incarnate Forme,Caption,an image of a cartoon character hanging from a string
465,Claydol,Caption,a black and red object with yellow circles on it
466,Clamperl,Caption,a cartoon character sleeping in a blue cup
467,Seedot,Caption,a cartoon character with a hat on his head
468,Dottler,Caption,a cartoon character with blue eyes and a yellow hat
469,Skiddo,Caption,a cartoon animal with a green scarf around its neck
470,Hypno,Caption,a yellow cat with a white collar and tail
471,Weedle,Caption,a cartoon caterpillar with a party hat on
472,Garchomp,Caption,a drawing of a cartoon character in a red and blue outfit
473,Garganacl,Caption,a picture of a minecraft character holding a bunch of blocks
474,Drowzee,Caption,an image of a cartoon character with his arms in the air
475,Greedent,Caption,a cartoon of a squirrel and a squirrelling
476,Stakataka,Caption,a robot made out of blocks with blue eyes
477,Ambipom,Caption,a cartoon character with two hands in the air
478,Spoink,Caption,a gray animal with a pink ball on its head
479,Pikipek,Caption,a black and white bird with a red beak
480,Frillish,Caption,a pink and white cartoon character with blue eyes
481,Honchkrow,Caption,a cartoon bird with a cigarette in its mouth
482,Tympole,Caption,a cartoon character with headphones on
483,Meganium,Caption,a cartoon dinosaur with a flower on its chest
484,Incineroar,Caption,a red and black cartoon character with flames
485,Lileep,Caption,a cartoon character with pink hair and a black nose
486,Magnezone,Caption,a cartoon character wearing a helmet with eyes
487,Beldum,Caption,a blue bird with a pink background
488,Tyranitar,Caption,a cartoon of a green and blue godzilla
489,Brute Bonnet,Caption,a very cute looking animal with a big grin on it's face
490,Glameow,Caption,a gray cat with yellow eyes and a tail
491,Dondozo,Caption,a blue and white fish with a black background
492,Pachirisu,Caption,a white and blue bird with yellow eyes
493,Swanna,Caption,a white bird with a yellow beak and a yellow beak
494,Primarina,Caption,a drawing of a blue and white cat
495,Nuzleaf,Caption,a cartoon character with a green leaf on his head
496,Zangoose,Caption,a white and red cat with a red tail
497,Ting-Lu,Caption,a very cute looking animal with glasses on it's head
498,Cutiefly,Caption,a drawing of a yellow and white bee
