,Pokemon,physiology
1,Fearow," It has a large wingspan, an elongated neck, and a thin, long beak: all characteristics being a radical departure from its short-winged, stubby-beaked, pre-evolved form, Spearow"
0,Ekans,Ekans is a snake-like Pokémon with purple and yellow coloring
1,Ekans," Its underside leading to its tail is yellow, and it has a yellow rattle at the tip of its tail"
2,Ekans," Ekans have large, yellow eyes with slit, reptilian pupils"
3,Ekans," Across its neck is a large, yellow band"
0,Arbok,"Arbok bears a resemblance to a cobra, with the majority of its body being purple"
1,Arbok," Arbok has a ""hood"" much like a cobra, though it has never been shown to be able to retract it"
2,Arbok," There is a red, black and yellow pattern on their hood that looks somewhat like an angry face to intimidate other Pokémon"
3,Arbok," It is known that there are six different patterns on Arbok, each one appearing in a different generation"
0,Pikachu,"Pikachu are small, and cute mouse-like Pokémon"
1,Pikachu, They are almost completely covered by yellow fur
2,Pikachu, They have long yellow ears that are tipped with black
3,Pikachu," A Pikachu's back has two brown stripes, and its large tail is notable for being shaped like a lightning bolt, yet its brown tip is almost always forgotten"
4,Pikachu, Pikachu have short arms with five tiny fingers on forehands and three sharp fingers on their hind legs
5,Pikachu, On its cheeks are two circle-shaped red pouches used for storing electricity
6,Pikachu," They turn yellow and spark with electricity when it's about to use an Electric attack, such as Thunderbolt"
7,Pikachu," It has also been known to generate small surges of electrical energy in anger or for protection, like in the anime"
8,Pikachu,"A female Pikachu looks almost exactly the same as a male, with the exception of her tail, which is rounded at the end and has an inward dent, giving it the appearance of a heart"
9,Pikachu," However, in earlier anime episodes, and in the games prior to Generation IV, female and male Pikachu look identical"
10,Pikachu,"As Gigantamax Pikachu, it becomes larger and chubbier (similar to its Generation 1 design)"
11,Pikachu," Its tail becomes longer and stores all of the electricity it generates, causing it to glow a bright yellow and enabling it to become as powerful as a Iightning strike"
12,Pikachu," Its power is equal to that a power plant; however, it is difficult to use it in peoples' homes since Pikachu can only remain in its Gigantamax form for a short time"
13,Pikachu,"When several of these Pokémon gather, their electricity can cause lightning storms"
14,Pikachu,A Shiny Pikachu is slightly orange
15,Pikachu,"In ""A Plethora of Pikachu!"", according to Pikala, the fur from Pikachu in the Kanto region sparkles in sunlight, while the Pikachu from Alola fur is silky smooth and shines in sunlight"
0,Raichu,"Raichu is a rodent-like Pokémon, similar to its previous evolution forms"
1,Raichu," Unlike Pichu or Pikachu, which both have yellow fur, Raichu has orange fur with two strips of brown fur on its back"
2,Raichu," It has long ears and feet, but has little stubby arms with no noticeable fingers"
3,Raichu," Additionally, its electrical sacs are yellow, unlike its previous form's red coloring"
4,Raichu," It has a plump white belly, the tips of its arms and toes are brown"
5,Raichu, The soles of its feet are tan-colored and the paw pads on the undersides are yellowish orange
6,Raichu," Raichu also have a long, thin, black tail that ends in a large lightning bolt shape"
7,Raichu,Alolan Raichu slightly resembles an Audino
8,Raichu, Its tail is now in an oval shape that allows Raichu to stand on it as if it is actually surfing
9,Raichu," Alolan Raichu also now has bright blue eyes, darker skin tone, white hands and feet, and yellow ears pointing upwards"
0,Sandshrew,Sandshrew has a white belly and a yellow back
1,Sandshrew, Its back resembles bricked pavement or walls
2,Sandshrew," It has a short tail, four short legs and a small head"
3,Sandshrew," Sandshrew resembles an armadillo, and can curl into a very tight ball which is about the size of a basketball"
4,Sandshrew,"Alolan Sandshrew, having fled the desert due to frequent eruptions, has adapted to the cold climate of the snowy mountains"
5,Sandshrew, This Sandshrew has a white belly and an ice blue back
6,Sandshrew, Its back resembles bricked pavement or walls albeit colored ice blue
7,Sandshrew," It has a short tail, four short legs and a small head"
8,Sandshrew," The majority of its ice blue body is clad in steel-hard ice armor, also sporting the ice brick pattern"
0,Sandslash,"Sandslash is a tall, yellow, mammalian pangolin/porcupine-like creature with brown quills on its back"
1,Sandslash," It has two very long claws on each ""hand"" used for digging and battling"
2,Sandslash," Sandslash can curl up to a small size just like its pre-evolved form Sandshrew, but it is of a much larger stature, which enhances its defense"
3,Sandslash,Alolan Sandslash keeps the traits of its Alolan pre-evolution
4,Sandslash," It is a tall, ice blue mammalian porcupine-like creature with steel-hard, ice blue crystals on its back"
5,Sandslash," It has two very long claws on each ""hand"" used for digging paths in the snow"
6,Sandslash, The weight of the ice makes it slower than regular Sandslash
0,Nidorina,"Nidorina is a rodent-like Pokémon with big ears, reminiscent of a rabbit"
1,Nidorina," She has blue skin, with darker spots around the body"
2,Nidorina, Her male counterpart is Nidorino
3,Nidorina, She has horns on her back
0,Nidoqueen,"Nidoqueen is a large, powerful, bipedal Pokémon"
1,Nidoqueen, They have thick yellow armor plates all over them
2,Nidoqueen," Its horn is smaller than Nidoking's, but is still strong and produces large quantities of concentrated venom"
3,Nidoqueen, Nidoqueen can use powerful moves such as Body Slam to paralyze foes and then finish them off with Mega Punch or Iron Tail
0,Nidorino,"Nidorino is a rabbit-like Pokémon, just like his previous evolution, though he acquires a more rugged look"
1,Nidorino, Sharp teeth protrude from his upper jaw and his spikes have grown larger
2,Nidorino, He is a red-purple color with slightly darker spots
3,Nidorino, He has very large ears
0,Nidoking,Nidoking is a large purple Pokémon with a very large horn and large ears
1,Nidoking, He has a large bulky tail and he has one-toed feet and three-fingered hands
0,Clefairy,"Clefairy is a small, round, pink, star-shaped Pokémon"
1,Clefairy, Its hands have two white claws and a thumb
2,Clefairy, Its ears are short and pointy with dark tips
3,Clefairy," It has a long, curled tail and swirly hair and pink cheeks"
4,Clefairy," On its back, it has small wings"
0,Clefable,"Clefable resembles a larger Clefairy, with bigger ears and tail, larger wings, and no claws on its hands"
0,Vulpix,Vulpix are fox-like Pokémon with reddish-brown fur
1,Vulpix, Vulpix's most distinctive feature is its six orange tails that are curled at the tips
2,Vulpix," According to the Pokédex, when it is born, Vulpix possesses one snow white tail that eventually splits into many tails as it grows older"
3,Vulpix," On the top of its head, Vulpix has a tuft of bright orange fur that curls into three rolls at the top and falls over its forehead at the bottom"
4,Vulpix, Its underbelly is cream-colored and slightly plump
5,Vulpix," Additionally, a shiny Vulpix has a golden color scheme as opposed to its original red-brown"
6,Vulpix," Also, Vulpix do not have any differences in appearance between genders"
7,Vulpix,"Alolan Vulpix, having moved to the snowy mountains to avoid other Pokémon habitats, has adapted to the cold climate"
8,Vulpix, It is a fox-like Pokémon with snow white fur and ice blue paws
9,Vulpix, Alolan Vulpix's most distinctive feature is its snow white body and its six ice blue tails which are connected by a tuft of snow white fur
10,Vulpix," On the top of its head, Alolan Vulpix has a tuft of snow white fur which curls back and falls over its forehead at the bottom"
11,Vulpix, A shiny Alolan Vulpix's color scheme is more inclined to purple instead of blue
0,Ninetales,"Ninetales is a fox-like Pokémon that possesses nine tails, hence its name"
1,Ninetales," Resembling the nine-tailed kitsune fox of Japanese folklore, they are mainly covered in sleek, luxurious golden-white fur, while the tips of their nine tails are orange"
2,Ninetales," On top of their head is a large tuft of hair, similar to its pre-evolved form though much more unruly and spiky"
3,Ninetales, It has sinister red eyes which give it the ability to psychically control the minds of people and Pokémon
4,Ninetales," Its ears are pointed and distinctly fox-like, and it has slender legs with three-toed paws and no visible claws"
5,Ninetales," The shiny version of Ninetales has silver-gray fur instead of its usual light cream fur, and its tails are tipped in blue"
6,Ninetales,Alolan Ninetales keeps the traits of Alolan Vulpix
7,Ninetales," It is a fox-like Pokémon that possesses nine tails, hence its name"
8,Ninetales, It is covered in ice blue fur with snow white legs
9,Ninetales," On top of its head is a large tuft of hair, similar to its pre-evolved form"
10,Ninetales," This tuft does not curl backwards and instead shrinks backwards into two snow white ""ribbons"" of hair"
11,Ninetales," It possesses two tufts like this (which shrink into only one ""ribbon"") on both sides of its ears"
12,Ninetales, Its nine tails are ice blue and also shrink into one snow white ribbon each
13,Ninetales," Unlike regular Ninetales, these tails form a circle behind the Pokémon"
14,Ninetales, It has majestic blue eyes not unlike those of its pre-evolution
15,Ninetales," Its ears are pointed and distinctly fox-like, and it has slender legs with three-toed paws and no visible claws"
0,Jigglypuff,Jigglypuff is a small round pink Pokémon with a tuft of curly fur on its head
1,Jigglypuff," It has short, digitless limbs, pointy catlike ears, and large blue eyes"
0,Wigglytuff,Wigglytuff resembles a larger Jigglypuff
1,Wigglytuff," It is pink and oval-shaped with a white stomach and short, digitless limbs"
2,Wigglytuff, Its eyes are the same as its pre-evolution
3,Wigglytuff," It has a tuft on its head and long, rabbit-like ears"
0,Zubat,Zubat resembles a blue bat
1,Zubat," It has a short, round body, purple wings, and slim legs missing feet"
2,Zubat," Zubat has no eyes, so it uses sound waves (echolocation) to navigate, like a real bat does"
3,Zubat," Strangely, it can use the move Mean Look, despite not having any eyes"
0,Golbat,"Golbat is a large, blue bat with super long wings"
1,Golbat," Unlike its pre-evolved form, named Zubat, Golbat has eyes"
2,Golbat," It also has two long, skinny feet"
3,Golbat, The most distinct feature of Golbat is its large mouth with four teeth
0,Oddish,Oddish looks like a small animated plant
1,Oddish," Its body is blue, with two small feet and red eyes"
2,Oddish, On top of its head grows a large clump of five long green leaves
0,Gloom,"Gloom has a very wide mouth that is nearly always agape, with something that appears to be drool leaking"
1,Gloom, The flower on its head is large with four reddish-orange petals
2,Gloom, Gloom also has some leaves sticking out of its sides
0,Vileplume,Vileplume is purple in color with red eyes and four short limbs
1,Vileplume," There is also a rafflesia on its head, which is a type of flower known to have a putrid smell"
0,Paras,Paras resembles a cross between a cicada nymph and a crab
1,Paras, It has an orange shell-like exterior
2,Paras," Its two front legs are very large, allowing Paras to grip on to prey and its environment"
3,Paras, The most distinct feature are the two mushrooms on its back
4,Paras, It also has very large eyes on the top of its head
0,Parasect,"Parasect, like its pre-evolution Paras, is a crab-like Pokémon"
1,Parasect, Parasect has a large red-orange-spotted mushroom on its back and six legs
2,Parasect," Parasect's two front legs are larger than its other four, which are used for gripping its prey"
0,Venonat,"Venonat is covered in large, purple fur"
1,Venonat, The feet of Venonat are brown and are about half as long as Venonat itself with its hands being the same color but a third of the size
2,Venonat, Venonat have two white antennae that stick out of their head
3,Venonat," The most notable feature of Venonat is their large, red eyes"
4,Venonat, It also has a small nose just under its eyes
0,Venomoth,Venomoth is a purple moth Pokémon
1,Venomoth, The eyes of Venomoth are black and much smaller than its pre-evolved form
2,Venomoth, Venomoth has two white fangs protruding from its mouthpart
3,Venomoth," Venomoth has a head, thorax, and abdomen, unlike some other Bug Pokémon"
4,Venomoth," The wings of Venomoth are larger than its body, with the top sections of its wings being much larger than the bottoms"
5,Venomoth," Its shiny incarnation has a pale blue wing coloration on its head and upper body, whereas its lower body (abdomen) and legs are a light brown"
0,Diglett,"Diglett are small, brown moles with two small eyes and a large pink/red nose"
1,Diglett," Since part of its body is underground, whether or not Diglett has feet, tail(s), etc"
2,Diglett, is unknown
3,Diglett," However, in Pokémon Mystery Dungeon Red Rescue Team and Blue Rescue Team, the rescued Diglett (after Skarmory kidnapped him) claimed to say his feet were getting cold (Which thereafter caused an awkward moment of silence)"
4,Diglett,Alolan Diglett has three pieces of blonde hair that are on top of its head
5,Diglett, Their hair are actually steel whiskers that result from being exposed to high iron content
0,Dugtrio,Dugtrio resembles a congregated trio of Diglett
1,Dugtrio," Although they look the same, the heights are varied"
2,Dugtrio," The middle body is the tallest, the left body is the 2nd tallest, and the right body is the shortest"
3,Dugtrio, The holes that Dugtrio make are bigger due to the increase in size during its evolution
4,Dugtrio," It's brown and it looks similar to a mole, but with a large, pink nose"
5,Dugtrio,"The Alolan form of Dugtrio has developed golden magnetic ""hair"""
6,Dugtrio," The middle body has the longest and curliest hair, while the left body has shorter blond hair and the right body has the shortest and straightest hair"
7,Dugtrio, They also have slightly darker body fur
0,Meowth,"Meowth is a small, bipedal, feline Pokémon"
1,Meowth, It has two cream whiskers on each side of its oval-shaped face and two hairs sticking up on either side of the golden coin-like gem on its forehead
2,Meowth, Meowth also has a curled tail
3,Meowth," Meowth's tail and feet are cream-colored like the rest of it, but they are brown at the end"
4,Meowth, It has small paw pads on the undersides of its heels and toes
5,Meowth," It is much like a Maneki Neko, a toy of Japanese descent known for bobbing its arm and hand up and down"
6,Meowth,"Alolan Meowth is a light blue-gray with smaller, half-open eyes"
7,Meowth, It was bred by royalty in the past
8,Meowth," They are very spoiled, selfish and arrogant, which makes them popular"
9,Meowth,Galarian Meowth is a grayish-brown color with thicker fur and a grinning mouth with sharp teeth
10,Meowth," It travelled with Vikings in ancient times, which caused its fur to harden into iron"
11,Meowth, It battles by extending its claws like daggers
12,Meowth,Gigantamax Meowth is a distorted version of its original form
13,Meowth," Its body becomes extremely long, its eyes turn yellow without pupils and its coin gains a kanji for big on it"
0,Persian,Persian resembles a large cat
1,Persian," Its fur is beige in color, and it has a curly tail"
2,Persian," There is also a small, red gem on its forehead, which is said to give the Pokémon power"
3,Persian," The Persian is named after the Persian breed of cat, although it resembles a cougar, with a yellowish white fur color"
4,Persian, It may possibly be an albino cougar
5,Persian," Another possibility is that it is based on a Siamese cat, a breed of cat which, much like Persian, has a beige coloring and black ears and medium-sized whiskers"
6,Persian,"Persian's Alolan form generally resembles its normal one, albeit colored light blue gray"
7,Persian," However its most noticeable  distinction is its comically oversized spherical head, disproportionately large compared to its slimmer body"
8,Persian," The gem on its head is now blue, and it has narrow, half-closed eyes and large rounded ears"
0,Psyduck,"Psyduck is a medium-sized, yellow platypus-like or duck-like Pokémon"
1,Psyduck, Only the feet and bill are tan
2,Psyduck, The other body parts are all yellow
3,Psyduck," Psyduck has three black hairs on top of its head, and its hands are always on its head due to its constant headache"
0,Golduck,Golduck is a blue-colored duck Pokémon
1,Golduck," Its hands and feet are now webbed, which result in Golduck's superior swimming skills"
2,Golduck, Golduck has red eyes and a red gem on its head
3,Golduck, Its head has four spikes on top
4,Golduck, It has a long tail and its hands and feet have three long claws
0,Mankey,"Mankey is a small, monkey-like Pokémon"
1,Mankey," They are a mostly tan in color, with a round body, long limbs and a tail"
2,Mankey, They have a pig nose due to it being the Pig Monkey species
3,Mankey, Mankey are also renowned for their pointy ears and medium length fur
4,Mankey, They have triangular eyes with red irises; this clearly represents the anger this Pokémon is known for
0,Primeape,"Primeape is a bipedal, simian Pokémon with a round body covered in whitish, shaggy fur"
1,Primeape," There is usually a throbbing vein on the left side of its forehead, and it has triangular ears with pink insides, narrow eyes with tiny pupils, and a pink, snout-like nose"
2,Primeape, Its arms and legs are brown and have metal shackles on the wrists and ankles
3,Primeape, This is probably indicative of a method of training with weights
4,Primeape," The hands have no visible fingers, instead resembling mittens or boxing gloves, and the feet have two toes"
0,Growlithe,Growlithe is a puppy like Pokémon
1,Growlithe, It has bright orange fur with black stripes
2,Growlithe," Its belly, tail, and fluff on top of its head are a cream color"
3,Growlithe, There are no gender differences
4,Growlithe,Its Hisuian form has dark orange fur
5,Growlithe, The tuft on Hisuian Growlithe's head grows into curls long enough to cover its eyes
6,Growlithe, It has a small horn on top of its head
7,Growlithe, The igneous rock components in its fur are believed to be the result of volcanic activity in its habitat
0,Arcanine,"Arcanine is a large, bulky canine Pokémon that also possesses traits of tigers and lions"
1,Arcanine, It has a distinct long dog-like muzzle with a large round black nose
2,Arcanine," Its eyes are triangular in shape, with black pupils"
3,Arcanine, It has short diamond-shaped orange ears with cream colored insides
4,Arcanine," The majority of Arcanine's body is covered with bright orange fur with jagged black stripes, resembling the fur of a tiger"
5,Arcanine," Its most of its head and face, and its chest, legs, are covered in light cream colored fluffy tufts of fur"
6,Arcanine, It has a long puffy cream-colored tail
7,Arcanine,"In the Hisuian region, Arcanine's appearance is drastically different compared to the Kantonian variant due to the volcanic areas it lives in"
8,Arcanine," Hisuian Arcanine has a more reddish-orange fur while its muzzle, mane, tail, and fur tufts covering both its ankles and elbows are dark grey"
9,Arcanine, Its mane has orange streaks while its head now has three horns protruding out of it (the middle horn is taller)
0,Poliwag,It is so soft its organs are actually visible
1,Poliwag, It also has trouble walking on its feet due to its lack of arms which causes it to be unbalanced
2,Poliwag, The swirl on its belly is its internal organs showing through
3,Poliwag," If the swirl is tinged, that means it's affected by some disease"
0,Poliwhirl,"Poliwhirl is a large, blue amphibious froglet-like Pokémon"
1,Poliwhirl, Poliwhirl has large hands and the hands appear to be like gloves
2,Poliwhirl," When a Poliwag evolves, the spiral on its belly reverses direction"
0,Poliwrath,Poliwrath appears to have a blue round shaped body with a white belly and a black spiral on it
1,Poliwrath, It also appears to have white fists and its pupil grow smaller than its pre-evolutions
0,Abra,"Abra is a golden-brown, human-like fox Pokémon with three fingers and toes on both arms and legs"
1,Abra, Its eyes are mostly closed because of its tendency to sleep a lot
2,Abra, The shoulders are brown
3,Abra, Abra has a long tail with one brown stripe
4,Abra," Feet have 3 sharp claws, 2 on the front and 1 on the heel"
5,Abra," Abra stands 2'11"" and has the same physical appearance, no matter what its gender is"
6,Abra, It has slightly pointed ears and its body looks slightly like it has a type of body armour on its top half
0,Kadabra,"Kadabra has a similar anatomy to Abra; however, there are some differences"
1,Kadabra, Kadabra holds a metal spoon forged by its psychic powers
2,Kadabra," Also, Kadabra's tail is large and curly"
3,Kadabra," It also has a ""mustache"
4,Kadabra,""" The mustache is larger on male Kadabra's"
5,Kadabra," Kadabra's stomach has three red stripes, while its forehead has a five-pointed red star"
